,id,full_text,created_at,favorite_count,retweet_count
31,1445818651869728768,"Republicans forcing us to default on the debt would lead to a self-inflicted wound that would take our economy over a cliff.
https://t.co/x0anA9Gjk7",Wed Oct 06 18:30:03 +0000 2021,5832,1143
32,1445498536452182027,RT @POTUS: I ran on my Build Back Better Agenda. I said it was time to build an economy that looks out from Scranton — instead of looking d…,Tue Oct 05 21:18:01 +0000 2021,0,5740
33,1445469237468749841,"My message to Republicans: If you don't want to help save the country, get out of the way. https://t.co/5Um4dL0XO8",Tue Oct 05 19:21:36 +0000 2021,27195,4849
34,1445417858687700992,Republicans won't vote to raise the debt limit to cover their own policies under the previous administration. It’s reckless and dangerous. https://t.co/qXu0jlcQbf,Tue Oct 05 15:57:26 +0000 2021,9370,1825
35,1444359045054439429,"RT @POTUS: During National Domestic Violence Awareness and Prevention Month, we come together to reaffirm our commitment to ending domestic…",Sat Oct 02 17:50:05 +0000 2021,0,3706
36,1444310062198054921,RT @POTUS: My Build Back Better Agenda and the Bipartisan Infrastructure Deal will spur economic growth – creating and supporting 4 million…,Sat Oct 02 14:35:27 +0000 2021,0,4153
37,1444085055031320578,"RT @POTUS: This week, I’ve been working closely with leaders in Congress to pass my Build Back Better Agenda and Bipartisan Infrastructure…",Fri Oct 01 23:41:21 +0000 2021,0,4347
38,1444068124421144580,RT @POTUS: We are going to deliver for the American people. https://t.co/w5lBtYCUoq,Fri Oct 01 22:34:05 +0000 2021,0,2576
39,1443964473941925893,RT @POTUS: Let me be clear: No hardworking American should be paying more in taxes than entire tech or oil companies. It’s long past time c…,Fri Oct 01 15:42:12 +0000 2021,0,5006
40,1443366490158272517,"We have a path to usher in a new era of economic growth that benefits everybody, not just those at the top, with the Build Back Better Agenda and Bipartisan Infrastructure Deal.",Thu Sep 30 00:06:02 +0000 2021,32322,4562
